EPOCH: 256
Training: [256 / 0], d_loss: -368.087097, g_loss: 183.823563, elapsed time: 40.606094 seconds
Training: [388 / 10], d_loss: -354.494873, g_loss: 185.158905, elapsed time: 34.187939 seconds
Training: [388 / 11], d_loss: -358.235260, g_loss: 183.749283, elapsed time: 34.135580 seconds
Training: [388 / 12], d_loss: -353.242767, g_loss: 180.978882, elapsed time: 34.095147 seconds
Training: [388 / 13], d_loss: -302.430725, g_loss: 5.725552, elapsed time: 34.094692 seconds
EPOCH: 389
Training: [389 / 0], d_loss: -308.867523, g_loss: 168.590652, elapsed time: 34.247212 seconds
Training: [389 / 1], d_loss: -181.247040, g_loss: 169.073502, elapsed time: 34.405860 seconds
Training: [389 / 2], d_loss: -346.219391, g_loss: 184.482941, elapsed time: 34.258687 seconds
Training: [389 / 3], d_loss: -367.455353, g_loss: 188.901611, elapsed time: 34.216740 seconds
Training: [389 / 4], d_loss: -358.904053, g_loss: 184.830475, elapsed time: 34.015913 seconds
Training: [389 / 5], d_loss: -361.295776, g_loss: 183.698975, elapsed time: 34.173020 seconds
Training: [389 / 6], d_loss: -177.334488, g_loss: 94.730568, elapsed time: 34.124038 seconds
Training: [389 / 7], d_loss: -137.333130, g_loss: 167.584457, elapsed time: 34.067894 seconds
Training: [389 / 8], d_loss: -359.175171, g_loss: 187.094482, elapsed time: 34.079701 seconds
Training: [389 / 9], d_loss: -359.761780, g_loss: 186.373856, elapsed time: 34.050012 seconds
Training: [389 / 10], d_loss: -343.934265, g_loss: 185.807098, elapsed time: 34.067248 seconds
Training: [389 / 11], d_loss: -65.232834, g_loss: -88.566696, elapsed time: 34.045762 seconds
Training: [389 / 12], d_loss: -341.213318, g_loss: 187.601532, elapsed time: 33.990715 seconds
Training: [389 / 13], d_loss: -359.931946, g_loss: 184.667480, elapsed time: 34.062042 seconds
EPOCH: 390
Training: [390 / 0], d_loss: -358.425537, g_loss: 180.895203, elapsed time: 33.994174 seconds
Training: [390 / 1], d_loss: -48.146439, g_loss: 147.532501, elapsed time: 34.064547 seconds
Training: [390 / 2], d_loss: -208.424683, g_loss: 135.676361, elapsed time: 34.064988 seconds
Training: [390 / 3], d_loss: -277.239075, g_loss: 182.331390, elapsed time: 34.014651 seconds
Training: [390 / 4], d_loss: -337.367523, g_loss: 179.054977, elapsed time: 34.048580 seconds
Training: [390 / 5], d_loss: -362.836029, g_loss: 187.445358, elapsed time: 34.071329 seconds
Training: [390 / 6], d_loss: -365.585449, g_loss: 186.498413, elapsed time: 34.092988 seconds
Training: [390 / 7], d_loss: -357.136139, g_loss: 181.350372, elapsed time: 34.114583 seconds
Training: [390 / 8], d_loss: -350.391968, g_loss: 181.745285, elapsed time: 34.093172 seconds
Training: [390 / 9], d_loss: -320.833405, g_loss: 182.352509, elapsed time: 34.040738 seconds
Training: [390 / 10], d_loss: -292.907959, g_loss: 101.520119, elapsed time: 34.008103 seconds
Training: [390 / 11], d_loss: -222.735443, g_loss: 165.767242, elapsed time: 34.178900 seconds
Training: [390 / 12], d_loss: -288.705963, g_loss: 119.421036, elapsed time: 34.193885 seconds
Training: [390 / 13], d_loss: -358.666138, g_loss: 186.515305, elapsed time: 34.061668 seconds
EPOCH: 391
Training: [391 / 0], d_loss: -366.999207, g_loss: 188.971802, elapsed time: 34.030867 seconds
Training: [391 / 1], d_loss: -360.716919, g_loss: 184.783539, elapsed time: 34.085296 seconds
Training: [391 / 2], d_loss: -353.805450, g_loss: 184.507263, elapsed time: 34.115119 seconds
Training: [391 / 3], d_loss: -356.315582, g_loss: 186.173004, elapsed time: 34.033836 seconds
Training: [391 / 4], d_loss: -359.135925, g_loss: 185.590515, elapsed time: 34.101024 seconds
Training: [391 / 5], d_loss: -360.306854, g_loss: 188.136337, elapsed time: 34.035398 seconds
Training: [391 / 6], d_loss: -123.784912, g_loss: 13.890782, elapsed time: 34.126364 seconds
Training: [391 / 7], d_loss: -266.005188, g_loss: -6.891238, elapsed time: 34.075116 seconds
Training: [391 / 8], d_loss: -153.698715, g_loss: 166.324112, elapsed time: 34.071882 seconds
Training: [391 / 9], d_loss: -361.321472, g_loss: 188.068634, elapsed time: 34.060750 seconds
Training: [391 / 10], d_loss: -369.564819, g_loss: 190.421829, elapsed time: 34.041347 seconds
Training: [391 / 11], d_loss: -358.055573, g_loss: 177.216110, elapsed time: 34.228512 seconds
Training: [391 / 12], d_loss: -360.809052, g_loss: 183.621002, elapsed time: 34.062122 seconds
Training: [391 / 13], d_loss: -88.126328, g_loss: 142.415787, elapsed time: 34.128697 seconds
EPOCH: 392
Training: [392 / 0], d_loss: -256.140472, g_loss: -40.522827, elapsed time: 34.091758 seconds
Training: [392 / 1], d_loss: -154.096588, g_loss: -5.677310, elapsed time: 34.016356 seconds
Training: [392 / 2], d_loss: -363.045471, g_loss: 188.684402, elapsed time: 34.040044 seconds
Training: [392 / 3], d_loss: -370.704773, g_loss: 191.043274, elapsed time: 34.124314 seconds
Training: [392 / 4], d_loss: -362.277100, g_loss: 187.051697, elapsed time: 34.090225 seconds
Training: [392 / 5], d_loss: -362.839630, g_loss: 181.426361, elapsed time: 34.069630 seconds
Training: [392 / 6], d_loss: -343.642487, g_loss: 179.285309, elapsed time: 34.075267 seconds
Training: [392 / 7], d_loss: -59.938148, g_loss: 124.279869, elapsed time: 34.095803 seconds
Training: [392 / 8], d_loss: -363.220215, g_loss: 187.268539, elapsed time: 34.157123 seconds
Training: [392 / 9], d_loss: -365.207642, g_loss: 186.281250, elapsed time: 34.641826 seconds
Training: [392 / 10], d_loss: -351.815491, g_loss: 186.897018, elapsed time: 34.215183 seconds
Training: [392 / 11], d_loss: -352.856445, g_loss: 183.659073, elapsed time: 34.063160 seconds
Training: [392 / 12], d_loss: -196.265427, g_loss: 54.663254, elapsed time: 34.055976 seconds
Training: [392 / 13], d_loss: -192.708710, g_loss: 176.709167, elapsed time: 34.023177 seconds
EPOCH: 393
Training: [393 / 0], d_loss: -354.897430, g_loss: 186.949478, elapsed time: 34.089543 seconds
Training: [393 / 1], d_loss: -368.588867, g_loss: 189.764709, elapsed time: 34.112541 seconds
Training: [393 / 2], d_loss: -361.616089, g_loss: 182.787842, elapsed time: 34.311190 seconds
Training: [393 / 3], d_loss: -147.092789, g_loss: 157.871536, elapsed time: 34.386487 seconds
Training: [393 / 4], d_loss: -307.074158, g_loss: 140.762131, elapsed time: 34.294485 seconds
Training: [393 / 5], d_loss: -298.884338, g_loss: 183.211426, elapsed time: 34.476032 seconds
Training: [393 / 6], d_loss: -364.221191, g_loss: 188.103790, elapsed time: 34.424463 seconds
Training: [393 / 7], d_loss: -363.968628, g_loss: 185.344360, elapsed time: 34.197555 seconds
Training: [393 / 8], d_loss: -357.750824, g_loss: 180.028381, elapsed time: 34.374044 seconds
Training: [393 / 9], d_loss: -121.959961, g_loss: 162.429779, elapsed time: 34.339721 seconds
Training: [393 / 10], d_loss: -335.597198, g_loss: 161.525024, elapsed time: 34.255864 seconds
Training: [393 / 11], d_loss: -154.808990, g_loss: 167.331818, elapsed time: 34.381106 seconds
Training: [393 / 12], d_loss: -357.290863, g_loss: 184.998260, elapsed time: 34.470078 seconds
Training: [393 / 13], d_loss: -366.740845, g_loss: 188.544876, elapsed time: 34.268023 seconds
EPOCH: 394
Training: [394 / 0], d_loss: -346.605347, g_loss: 178.107422, elapsed time: 34.406817 seconds
Training: [394 / 1], d_loss: -351.707153, g_loss: 174.722473, elapsed time: 34.175718 seconds
Training: [394 / 2], d_loss: -305.061249, g_loss: 179.181458, elapsed time: 34.251407 seconds
Training: [394 / 3], d_loss: -196.129654, g_loss: -16.643448, elapsed time: 34.113533 seconds
Training: [394 / 4], d_loss: -328.612854, g_loss: 113.276718, elapsed time: 34.149018 seconds
Training: [394 / 5], d_loss: -316.407959, g_loss: 183.525589, elapsed time: 34.061554 seconds
Training: [394 / 6], d_loss: -366.112122, g_loss: 189.197571, elapsed time: 34.047985 seconds
Training: [394 / 7], d_loss: -369.754425, g_loss: 189.751419, elapsed time: 34.146087 seconds
Training: [394 / 8], d_loss: -355.964417, g_loss: 178.254120, elapsed time: 34.031765 seconds
Training: [394 / 9], d_loss: -160.083878, g_loss: 161.607025, elapsed time: 34.064178 seconds
Training: [394 / 10], d_loss: -359.496918, g_loss: 186.965424, elapsed time: 34.071822 seconds
Training: [394 / 11], d_loss: -344.605438, g_loss: 179.843536, elapsed time: 34.104118 seconds
Training: [394 / 12], d_loss: -353.827209, g_loss: 181.177185, elapsed time: 34.100348 seconds
Training: [394 / 13], d_loss: -356.818939, g_loss: 184.803925, elapsed time: 34.097860 seconds
EPOCH: 395
Training: [395 / 0], d_loss: -358.747803, g_loss: 181.275787, elapsed time: 34.029673 seconds
Training: [395 / 1], d_loss: -306.307434, g_loss: 182.527130, elapsed time: 34.127936 seconds
Training: [395 / 2], d_loss: -252.175980, g_loss: 174.694275, elapsed time: 34.154138 seconds
Training: [395 / 3], d_loss: -289.336823, g_loss: 141.844574, elapsed time: 34.228051 seconds
Training: [395 / 4], d_loss: -169.545502, g_loss: 163.648972, elapsed time: 34.104435 seconds
Training: [395 / 5], d_loss: -361.461212, g_loss: 187.065353, elapsed time: 34.095904 seconds
Training: [395 / 6], d_loss: -361.179626, g_loss: 185.312134, elapsed time: 34.053221 seconds
Training: [395 / 7], d_loss: -353.282501, g_loss: 178.599579, elapsed time: 34.089867 seconds
Training: [395 / 8], d_loss: -334.619720, g_loss: 181.819855, elapsed time: 34.151358 seconds
Training: [395 / 9], d_loss: -192.829025, g_loss: 128.144302, elapsed time: 34.228097 seconds
Training: [395 / 10], d_loss: -255.911957, g_loss: 169.888184, elapsed time: 34.210019 seconds
Training: [395 / 11], d_loss: -363.202911, g_loss: 188.007294, elapsed time: 34.116551 seconds
Training: [395 / 12], d_loss: -364.653564, g_loss: 185.810699, elapsed time: 34.203671 seconds
Training: [395 / 13], d_loss: -353.280365, g_loss: 180.454651, elapsed time: 34.144284 seconds
EPOCH: 396
Training: [396 / 0], d_loss: -358.857117, g_loss: 184.975433, elapsed time: 34.108932 seconds
Training: [396 / 1], d_loss: -345.493622, g_loss: 181.179901, elapsed time: 34.344374 seconds
Training: [396 / 2], d_loss: -345.112671, g_loss: 176.768234, elapsed time: 34.271082 seconds
Training: [396 / 3], d_loss: -116.883850, g_loss: 170.172531, elapsed time: 34.285334 seconds
Training: [396 / 4], d_loss: -262.029053, g_loss: 179.300934, elapsed time: 34.181657 seconds
Training: [396 / 5], d_loss: -342.480347, g_loss: 181.918610, elapsed time: 34.129163 seconds
Training: [396 / 6], d_loss: -352.698486, g_loss: 178.918365, elapsed time: 34.278766 seconds
Training: [396 / 7], d_loss: -153.682083, g_loss: 173.470779, elapsed time: 34.102642 seconds
Training: [396 / 8], d_loss: -347.247437, g_loss: 181.652283, elapsed time: 34.112217 seconds
Training: [396 / 9], d_loss: -364.734772, g_loss: 187.690765, elapsed time: 34.155081 seconds
Training: [396 / 10], d_loss: -352.048950, g_loss: 178.745209, elapsed time: 34.061311 seconds
Training: [396 / 11], d_loss: -351.848267, g_loss: 183.732315, elapsed time: 34.145210 seconds
Training: [396 / 12], d_loss: -353.168335, g_loss: 177.991882, elapsed time: 34.172938 seconds
Training: [396 / 13], d_loss: -65.924835, g_loss: 166.462021, elapsed time: 34.113822 seconds
EPOCH: 397
Training: [397 / 0], d_loss: -290.943176, g_loss: 134.783371, elapsed time: 34.058501 seconds
Training: [397 / 1], d_loss: -322.147034, g_loss: 178.704117, elapsed time: 34.115563 seconds
Training: [397 / 2], d_loss: -363.613495, g_loss: 187.646179, elapsed time: 34.022932 seconds
Training: [397 / 3], d_loss: -355.406311, g_loss: 184.308456, elapsed time: 34.118302 seconds
Training: [397 / 4], d_loss: -354.502319, g_loss: 181.945038, elapsed time: 34.085450 seconds
Training: [397 / 5], d_loss: -347.674103, g_loss: 182.241241, elapsed time: 34.083155 seconds
Training: [397 / 6], d_loss: -336.106323, g_loss: 171.756653, elapsed time: 34.149700 seconds
Training: [397 / 7], d_loss: -316.806732, g_loss: 173.042725, elapsed time: 34.098941 seconds
Training: [397 / 8], d_loss: -185.996552, g_loss: 170.885681, elapsed time: 34.083820 seconds
Training: [397 / 9], d_loss: -282.301697, g_loss: 126.291489, elapsed time: 34.012955 seconds
Training: [397 / 10], d_loss: -332.748901, g_loss: 174.856323, elapsed time: 34.083846 seconds
Training: [397 / 11], d_loss: -364.860901, g_loss: 188.586182, elapsed time: 34.108730 seconds
Training: [397 / 12], d_loss: -350.812317, g_loss: 182.955872, elapsed time: 34.030713 seconds
Training: [397 / 13], d_loss: -345.889923, g_loss: 184.188065, elapsed time: 33.991178 seconds
EPOCH: 398
Training: [398 / 0], d_loss: -353.759766, g_loss: 183.048233, elapsed time: 34.137588 seconds
Training: [398 / 1], d_loss: -270.600433, g_loss: 179.757355, elapsed time: 34.065970 seconds
Training: [398 / 2], d_loss: -352.589844, g_loss: 180.949844, elapsed time: 34.014535 seconds
Training: [398 / 3], d_loss: -356.620605, g_loss: 178.571671, elapsed time: 33.992373 seconds
Training: [398 / 4], d_loss: -149.976273, g_loss: 116.074585, elapsed time: 34.057573 seconds
Training: [398 / 5], d_loss: -219.631546, g_loss: -73.859680, elapsed time: 34.077540 seconds
Training: [398 / 6], d_loss: -266.819000, g_loss: 151.644775, elapsed time: 34.052513 seconds
Training: [398 / 7], d_loss: -363.773682, g_loss: 189.232513, elapsed time: 34.067905 seconds
Training: [398 / 8], d_loss: -368.344299, g_loss: 188.704620, elapsed time: 34.119816 seconds
Training: [398 / 9], d_loss: -358.826782, g_loss: 182.850204, elapsed time: 34.051805 seconds
Training: [398 / 10], d_loss: -361.210693, g_loss: 184.597443, elapsed time: 34.066155 seconds
Training: [398 / 11], d_loss: -343.577087, g_loss: 185.799973, elapsed time: 34.141905 seconds
Training: [398 / 12], d_loss: -159.017532, g_loss: 124.489243, elapsed time: 34.238023 seconds
Training: [398 / 13], d_loss: -215.852386, g_loss: 2.743221, elapsed time: 34.187220 seconds
EPOCH: 399
Training: [399 / 0], d_loss: -351.639771, g_loss: 180.947800, elapsed time: 34.262143 seconds
Training: [399 / 1], d_loss: -364.393951, g_loss: 187.628586, elapsed time: 34.303699 seconds
Training: [399 / 2], d_loss: -366.901520, g_loss: 188.371796, elapsed time: 34.104885 seconds
Training: [399 / 3], d_loss: -356.787262, g_loss: 183.526550, elapsed time: 34.371092 seconds
Training: [399 / 4], d_loss: -335.986938, g_loss: 181.240356, elapsed time: 34.373835 seconds
Training: [399 / 5], d_loss: -138.466980, g_loss: 131.042831, elapsed time: 34.356915 seconds
Training: [399 / 6], d_loss: -257.552826, g_loss: 168.830902, elapsed time: 34.320216 seconds
Training: [399 / 7], d_loss: -233.511780, g_loss: 145.386032, elapsed time: 34.301151 seconds
Training: [399 / 8], d_loss: -358.700989, g_loss: 186.386566, elapsed time: 34.107998 seconds
Training: [399 / 9], d_loss: -362.764587, g_loss: 185.342468, elapsed time: 34.087439 seconds
Training: [399 / 10], d_loss: -361.825500, g_loss: 185.350082, elapsed time: 34.148626 seconds
Training: [399 / 11], d_loss: -354.703857, g_loss: 182.042526, elapsed time: 34.083637 seconds
Training: [399 / 12], d_loss: -355.213806, g_loss: 184.845795, elapsed time: 34.230595 seconds
Training: [399 / 13], d_loss: -346.721680, g_loss: 168.294739, elapsed time: 34.312931 seconds
EPOCH: 400
Training: [400 / 0], d_loss: -159.308258, g_loss: 155.384552, elapsed time: 34.225871 seconds
Training: [400 / 1], d_loss: -109.232323, g_loss: 93.006310, elapsed time: 34.274802 seconds
Training: [400 / 2], d_loss: -240.389282, g_loss: 170.444916, elapsed time: 34.253785 seconds
Training: [400 / 3], d_loss: -360.097748, g_loss: 186.918427, elapsed time: 34.810305 seconds
Training: [400 / 4], d_loss: -360.905548, g_loss: 183.497345, elapsed time: 34.157165 seconds
Training: [400 / 5], d_loss: -356.972168, g_loss: 182.966507, elapsed time: 34.293552 seconds
Training: [400 / 6], d_loss: -345.003326, g_loss: 184.628006, elapsed time: 34.073516 seconds
Training: [400 / 7], d_loss: -363.199371, g_loss: 184.772079, elapsed time: 34.073788 seconds
Training: [400 / 8], d_loss: -127.780167, g_loss: 168.313629, elapsed time: 34.103306 seconds
Training: [400 / 9], d_loss: -114.560020, g_loss: 15.332041, elapsed time: 34.075829 seconds
Training: [400 / 10], d_loss: -346.541748, g_loss: 186.576416, elapsed time: 34.112093 seconds
Training: [400 / 11], d_loss: -368.672760, g_loss: 189.203629, elapsed time: 34.209599 seconds
Training: [400 / 12], d_loss: -355.301270, g_loss: 178.950058, elapsed time: 34.506751 seconds
Training: [400 / 13], d_loss: -324.659668, g_loss: 176.292542, elapsed time: 36.921371 seconds
EPOCH: 401
Training: [401 / 0], d_loss: -44.622147, g_loss: 78.694504, elapsed time: 34.102920 seconds
Training: [401 / 1], d_loss: -363.383057, g_loss: 186.282227, elapsed time: 34.190526 seconds
Training: [401 / 2], d_loss: -364.520386, g_loss: 186.018951, elapsed time: 34.511472 seconds
Training: [401 / 3], d_loss: -361.334778, g_loss: 186.907684, elapsed time: 34.202390 seconds
Training: [401 / 4], d_loss: -345.515930, g_loss: 183.649628, elapsed time: 34.108685 seconds
Training: [401 / 5], d_loss: -54.199493, g_loss: -29.700485, elapsed time: 34.130118 seconds
Training: [401 / 6], d_loss: -256.480316, g_loss: 184.489624, elapsed time: 34.056137 seconds
Training: [401 / 7], d_loss: -279.884064, g_loss: 158.034119, elapsed time: 34.082145 seconds
Training: [401 / 8], d_loss: -264.846771, g_loss: 180.049484, elapsed time: 34.176219 seconds
Training: [401 / 9], d_loss: -364.063751, g_loss: 189.147095, elapsed time: 34.082301 seconds
Training: [401 / 10], d_loss: -368.238861, g_loss: 190.066742, elapsed time: 34.136003 seconds
Training: [401 / 11], d_loss: -365.710968, g_loss: 186.659256, elapsed time: 34.135300 seconds
Training: [401 / 12], d_loss: -364.320496, g_loss: 184.376953, elapsed time: 34.374070 seconds
Training: [401 / 13], d_loss: -360.873779, g_loss: 183.489044, elapsed time: 34.176231 seconds
EPOCH: 402
Training: [402 / 0], d_loss: -82.781570, g_loss: 132.731323, elapsed time: 34.099261 seconds
Training: [402 / 1], d_loss: -174.618683, g_loss: 43.063377, elapsed time: 34.088228 seconds
Training: [402 / 2], d_loss: -358.069366, g_loss: 184.794525, elapsed time: 34.101142 seconds
Training: [402 / 3], d_loss: -362.394958, g_loss: 187.474091, elapsed time: 34.099881 seconds
Training: [402 / 4], d_loss: -340.143982, g_loss: 183.751801, elapsed time: 34.150708 seconds
Training: [402 / 5], d_loss: -362.417358, g_loss: 183.679413, elapsed time: 34.224520 seconds
Training: [402 / 6], d_loss: -363.087036, g_loss: 184.070663, elapsed time: 34.147326 seconds
Training: [402 / 7], d_loss: -69.556549, g_loss: 149.583771, elapsed time: 34.265256 seconds
Training: [402 / 8], d_loss: -164.845688, g_loss: -109.507706, elapsed time: 34.182650 seconds
Training: [402 / 9], d_loss: -176.294830, g_loss: 27.827877, elapsed time: 34.511405 seconds
Training: [402 / 10], d_loss: -271.963104, g_loss: 94.457809, elapsed time: 34.248337 seconds
Training: [402 / 11], d_loss: -352.895447, g_loss: 185.477112, elapsed time: 34.090878 seconds
Training: [402 / 12], d_loss: -365.300354, g_loss: 188.597046, elapsed time: 34.213470 seconds
Training: [402 / 13], d_loss: -369.205566, g_loss: 188.536728, elapsed time: 34.119104 seconds
EPOCH: 403
Training: [403 / 0], d_loss: -357.410339, g_loss: 182.372742, elapsed time: 34.113622 seconds
Training: [403 / 1], d_loss: -361.548065, g_loss: 184.276093, elapsed time: 34.347862 seconds
Training: [403 / 2], d_loss: -358.918579, g_loss: 181.778229, elapsed time: 34.115200 seconds
Training: [403 / 3], d_loss: -321.035950, g_loss: 178.973236, elapsed time: 34.179829 seconds
Training: [403 / 4], d_loss: -236.953018, g_loss: 153.549377, elapsed time: 34.082141 seconds
Training: [403 / 5], d_loss: -263.625824, g_loss: 179.075424, elapsed time: 34.201848 seconds
Training: [403 / 6], d_loss: -361.032135, g_loss: 186.545135, elapsed time: 34.188171 seconds
Training: [403 / 7], d_loss: -361.987000, g_loss: 184.719513, elapsed time: 34.253844 seconds
Training: [403 / 8], d_loss: -353.428986, g_loss: 176.151672, elapsed time: 34.326383 seconds
Training: [403 / 9], d_loss: -208.176727, g_loss: 175.783630, elapsed time: 34.263467 seconds
Training: [403 / 10], d_loss: -169.967392, g_loss: 118.697952, elapsed time: 34.407571 seconds
Training: [403 / 11], d_loss: -267.470520, g_loss: 181.149536, elapsed time: 34.172459 seconds
Training: [403 / 12], d_loss: -360.290283, g_loss: 186.908707, elapsed time: 34.094539 seconds
Training: [403 / 13], d_loss: -367.280212, g_loss: 188.552124, elapsed time: 34.160120 seconds
EPOCH: 404
Training: [404 / 0], d_loss: -359.786560, g_loss: 183.199753, elapsed time: 34.107368 seconds
Training: [404 / 1], d_loss: -345.755493, g_loss: 181.342468, elapsed time: 34.165321 seconds
Training: [404 / 2], d_loss: -342.137939, g_loss: 168.185303, elapsed time: 34.113023 seconds
Training: [404 / 3], d_loss: -279.060364, g_loss: 179.105591, elapsed time: 34.188299 seconds
Training: [404 / 4], d_loss: -345.284271, g_loss: 182.697937, elapsed time: 34.034658 seconds
Training: [404 / 5], d_loss: -365.446991, g_loss: 186.671478, elapsed time: 34.119483 seconds
Training: [404 / 6], d_loss: -351.939423, g_loss: 184.658463, elapsed time: 34.087744 seconds
Training: [404 / 7], d_loss: -352.593719, g_loss: 179.916840, elapsed time: 34.071304 seconds
Training: [404 / 8], d_loss: -324.860840, g_loss: 180.542267, elapsed time: 34.029387 seconds
Training: [404 / 9], d_loss: -214.179123, g_loss: 136.942902, elapsed time: 34.108492 seconds
Training: [404 / 10], d_loss: -134.089432, g_loss: 172.975891, elapsed time: 34.050034 seconds
Training: [404 / 11], d_loss: -270.643250, g_loss: 128.877838, elapsed time: 34.116908 seconds
Training: [404 / 12], d_loss: -222.108810, g_loss: 179.710083, elapsed time: 34.101377 seconds
Training: [404 / 13], d_loss: -360.136597, g_loss: 186.199417, elapsed time: 34.149570 seconds
EPOCH: 405
Training: [405 / 0], d_loss: -366.276428, g_loss: 188.537079, elapsed time: 34.117900 seconds
Training: [405 / 1], d_loss: -358.392303, g_loss: 182.155136, elapsed time: 34.115468 seconds
Training: [405 / 2], d_loss: -354.760376, g_loss: 179.607300, elapsed time: 34.143844 seconds
Training: [405 / 3], d_loss: -280.755859, g_loss: 180.898636, elapsed time: 34.200294 seconds
Training: [405 / 4], d_loss: -355.915466, g_loss: 183.918396, elapsed time: 34.175408 seconds
Training: [405 / 5], d_loss: -352.237549, g_loss: 182.549103, elapsed time: 34.031288 seconds
Training: [405 / 6], d_loss: -356.981262, g_loss: 181.570618, elapsed time: 34.068881 seconds
Training: [405 / 7], d_loss: -348.308136, g_loss: 177.242325, elapsed time: 34.149958 seconds
Training: [405 / 8], d_loss: -229.691162, g_loss: 164.638824, elapsed time: 34.114021 seconds
Training: [405 / 9], d_loss: -315.887085, g_loss: 179.761063, elapsed time: 34.139592 seconds
Training: [405 / 10], d_loss: -355.124878, g_loss: 180.428894, elapsed time: 34.172783 seconds
Training: [405 / 11], d_loss: -355.711975, g_loss: 181.424500, elapsed time: 34.122502 seconds
Training: [405 / 12], d_loss: -362.646362, g_loss: 182.648087, elapsed time: 34.264761 seconds
Training: [405 / 13], d_loss: -340.993469, g_loss: 178.976654, elapsed time: 34.064489 seconds
EPOCH: 406
Training: [406 / 0], d_loss: -138.554565, g_loss: 150.322433, elapsed time: 34.072475 seconds
Training: [406 / 1], d_loss: -309.980469, g_loss: 165.228363, elapsed time: 34.077935 seconds
Training: [406 / 2], d_loss: -345.126495, g_loss: 185.155670, elapsed time: 34.103507 seconds
Training: [406 / 3], d_loss: -361.301819, g_loss: 185.170441, elapsed time: 34.097334 seconds
Training: [406 / 4], d_loss: -349.670959, g_loss: 182.196152, elapsed time: 34.053238 seconds
Training: [406 / 5], d_loss: -356.450562, g_loss: 179.699432, elapsed time: 34.180967 seconds
Training: [406 / 6], d_loss: -161.748779, g_loss: 160.109650, elapsed time: 34.297997 seconds
Training: [406 / 7], d_loss: -281.678680, g_loss: 125.719818, elapsed time: 34.106563 seconds
Training: [406 / 8], d_loss: -326.844299, g_loss: 182.910797, elapsed time: 34.309428 seconds
Training: [406 / 9], d_loss: -366.045685, g_loss: 188.850983, elapsed time: 34.267803 seconds
Training: [406 / 10], d_loss: -362.055237, g_loss: 183.973694, elapsed time: 34.142361 seconds
Training: [406 / 11], d_loss: -349.776398, g_loss: 181.956085, elapsed time: 34.220429 seconds
Training: [406 / 12], d_loss: -348.471497, g_loss: 179.356476, elapsed time: 34.213930 seconds
Training: [406 / 13], d_loss: -348.239319, g_loss: 183.845215, elapsed time: 34.102279 seconds
EPOCH: 407
Training: [407 / 0], d_loss: -37.409241, g_loss: -16.364504, elapsed time: 34.090988 seconds
Training: [407 / 1], d_loss: -50.143326, g_loss: 137.778961, elapsed time: 34.149735 seconds
Training: [407 / 2], d_loss: -357.796112, g_loss: 187.967346, elapsed time: 34.020902 seconds
Training: [407 / 3], d_loss: -365.989075, g_loss: 187.223328, elapsed time: 34.399907 seconds
Training: [407 / 4], d_loss: -353.053619, g_loss: 171.921143, elapsed time: 34.320354 seconds
Training: [407 / 5], d_loss: -115.262344, g_loss: 171.435120, elapsed time: 34.318013 seconds
Training: [407 / 6], d_loss: -333.583710, g_loss: 186.909134, elapsed time: 34.305270 seconds
Training: [407 / 7], d_loss: -365.264893, g_loss: 187.968170, elapsed time: 33.999106 seconds
Training: [407 / 8], d_loss: -357.411438, g_loss: 184.244019, elapsed time: 34.046829 seconds
Training: [407 / 9], d_loss: -358.021545, g_loss: 175.126373, elapsed time: 34.085758 seconds
Training: [407 / 10], d_loss: -230.181915, g_loss: 175.352417, elapsed time: 35.010412 seconds
Training: [407 / 11], d_loss: -179.426407, g_loss: 7.607900, elapsed time: 34.186421 seconds
Training: [407 / 12], d_loss: -342.585571, g_loss: 173.585312, elapsed time: 34.161722 seconds
Training: [407 / 13], d_loss: -84.645126, g_loss: 169.308746, elapsed time: 34.126015 seconds
EPOCH: 408
Training: [408 / 0], d_loss: -362.695038, g_loss: 188.147675, elapsed time: 34.223147 seconds
Training: [408 / 1], d_loss: -363.657501, g_loss: 185.712921, elapsed time: 34.237719 seconds
Training: [408 / 2], d_loss: -352.166962, g_loss: 176.789062, elapsed time: 34.175601 seconds
Training: [408 / 3], d_loss: -354.234680, g_loss: 183.345612, elapsed time: 34.155059 seconds
Training: [408 / 4], d_loss: -359.614716, g_loss: 185.911621, elapsed time: 34.243510 seconds
Training: [408 / 5], d_loss: -349.997864, g_loss: 171.206573, elapsed time: 34.156726 seconds
Training: [408 / 6], d_loss: -82.744019, g_loss: 151.616089, elapsed time: 34.149598 seconds
Training: [408 / 7], d_loss: -320.386261, g_loss: 168.327026, elapsed time: 34.300112 seconds
Training: [408 / 8], d_loss: -344.776978, g_loss: 183.664581, elapsed time: 34.195719 seconds
Training: [408 / 9], d_loss: -356.824249, g_loss: 184.277542, elapsed time: 34.059669 seconds
Training: [408 / 10], d_loss: -356.112305, g_loss: 185.074341, elapsed time: 34.070303 seconds
Training: [408 / 11], d_loss: -314.973572, g_loss: 176.053970, elapsed time: 34.142247 seconds
Training: [408 / 12], d_loss: -215.291779, g_loss: 50.951927, elapsed time: 34.106692 seconds
Training: [408 / 13], d_loss: -312.232330, g_loss: 125.579620, elapsed time: 34.114501 seconds
EPOCH: 409
Training: [409 / 0], d_loss: -106.247253, g_loss: 165.269562, elapsed time: 34.119687 seconds
Training: [409 / 1], d_loss: -354.827026, g_loss: 184.925842, elapsed time: 34.274456 seconds
